"","Bird","Type","DEE.kJ.d","propColcal","propFlycal","propSwimcal","propRestcal","propSoarcal"
"1","bbo/ws","1-sample",864.3222403,0.085512751,0.314595768,0.359088443,0.167986978,0.072816061
"2","bee/gs","2-sample",924.5593623,0.619592148,0.213836478,0.127310844,0.014293882,0.024966648
"3","bgo/ys","2-sample",778.6974656,0.403091135,0.17427607,0.119559424,0.268786641,0.034286729
"4","bks/orr","2-sample",483.4545593,0.464620107,0.146891788,0.189562548,0.154105909,0.044819647
"5","bs/wyg","2-sample",645.216996,0.390347764,0.292938254,0.134048971,0.091110717,0.091554294
"6","err/rs","1-sample",583.8254333,0.264980903,0.188199658,0.161727907,0.334386935,0.050704596
"7","es/eoo","1-sample",521.3138423,0.729565035,0.152553057,0.015129229,0.067030889,0.03572179
"8","es/ero","2-sample",978.2876457,0.427021161,0.300415988,0.12769036,0.102188461,0.04268403
"9","es/err","1-sample",848.1263108,0.363851474,0.324353841,0.234255552,0.029850746,0.047688387
"10","es/gbg","1-sample",619.9867713,0.579592607,0.242549981,0.147491513,0.005658242,0.024707657
"11","es/gyb","2-sample",800.7669088,0.533823878,0.233800142,0.101827676,0.111322098,0.019226205
"12","es/owg","1-sample",655.2532118,0.651335546,0.132764343,0.157420578,0.042042042,0.01643749
"13","es/yby","2-sample",706.1018978,0.649212925,0.110190555,0.124772162,0.097597349,0.018227009
"14","es/yeo","2-sample",708.8199171,0.418356894,0.236836714,0.281089941,0.00983405,0.053882401
"15","gee/gs","1-sample",698.1417129,0.410552764,0.258291457,0.199664992,0.047571189,0.083919598
"16","ggr/gs","2-sample",696.15225,0.534304933,0.142825112,0.250896861,0.025112108,0.046860987
"17","gkr/brs","2-sample",442.2223668,0.630647795,0.155688623,0.006804573,0.167392488,0.039466522
"18","gks/gyy","1-sample",865.5092268,0.177849265,0.17846201,0.16283701,0.443780637,0.037071078
"19","goy/ygs","2-sample",619.0523017,0.561406773,0.171194641,0.145515445,0.094529215,0.027353926
"20","gs/eoy","2-sample",705.6526866,0.490425124,0.228265033,0.146495596,0.051129835,0.083684412
"21","gs/wee","2-sample",1282.226864,0.280492354,0.279186871,0.362737784,0.028907124,0.048675867
"22","gys/okr","1-sample",623.3405327,0.706022565,0.117114254,0.09550294,0.045129509,0.036230733
"23","obb/rs","1-sample",498.0787854,0.763296793,0.139464068,0.065164434,0.006699147,0.025375558
"24","os/roe","2-sample",567.5302678,0.495875139,0.239910814,0.169453735,0.042809365,0.051950948
"25","os/wwr","1-sample",1087.283098,0.399113082,0.259793052,0.224501109,0.074279379,0.042313378
"26","rkb/yys","2-sample",441.4586628,0.705200217,0.071933321,0.03551368,0.148758833,0.038593948
"27","rro/ws","1-sample",566.8922407,0.536552259,0.1941051,0.094822571,0.142524724,0.031995346
"28","rs/bgb","2-sample",458.511571,0.810183379,0.054818572,0.032579009,0.077838471,0.02458057
"29","rs/bge","1-sample",703.7075779,0.483705357,0.224553571,0.041294643,0.200446429,0.05
"30","rs/oyw","2-sample",625.5384204,0.579622503,0.086860913,0.083379146,0.214953271,0.035184167
"31","rwo/bs","1-sample",848.322727,0.477084025,0.288608436,0.188807705,0,0.045499834
"32","wbg/rs","2-sample",585.0434305,0.673314091,0.173314091,0.084098662,0.039753346,0.029519811
"33","wge/bs","1-sample",435.4332905,0.791866029,0.050239234,0.018341308,0.112240829,0.0273126
"34","wkg/wys","2-sample",667.2218876,0.631909548,0.218592965,0.095006281,0.02701005,0.027481156
"35","wks/bow","1-sample",858.307065,0.546158574,0.215857406,0.123294407,0.080516288,0.034173325
"36","ws/rgb","1-sample",1217.033353,0.315905995,0.396628065,0.228882834,0.008174387,0.050408719
"37","ws/rgg","2-sample",673.4009702,0.475598735,0.223452327,0.199728875,0.060777225,0.040442838
"38","ws/yeb","2-sample",826.0455493,0.41210685,0.265402844,0.096940974,0.175140026,0.050409306
"39","www/bs","1-sample",542.6433989,0.35780409,0.260710441,0.271259419,0.064800861,0.045425188
"40","wyo/bs","1-sample",769.9765703,0.534913635,0.295847115,0.112458655,0.01598677,0.040793826
"41","yeb/bs","1-sample",502.1739632,0.619110597,0.16829228,0.115721607,0.069432964,0.027442552
"42","ygb/rs","2-sample",782.4140071,0.413177648,0.142618849,0.414678899,0.002502085,0.027022519
"43","yog/ys","1-sample",630.2660945,0.629552114,0.122436166,0.129133529,0.090205107,0.028673085
"44","yre/ws","2-sample",591.9004433,0.47930155,0.169315284,0.247008044,0.063762998,0.040612125
"45","ys/beo","1-sample",788.4248007,0.445806043,0.247623072,0.287555462,0.001267695,0.017747729
"46","ys/bry","2-sample",641.4266578,0.585726719,0.244778068,0.040469974,0.097693647,0.031331593
"47","ys/geo","1-sample",924.7236041,0.346458674,0.319159643,0.199647754,0.096364323,0.038369606
"48","ys/rog","2-sample",526.1506198,0.56684492,0.219868367,0.13615796,0.039901275,0.037227478
"49","ys/yee","1-sample",438.697663,0.39385762,0.236057569,0.223978412,0.092521203,0.053585197
