X,Bird,Type,Mass1..g.,Mass2..g.,Mass.avg.,Energy..j..h,DEE.kJ.d,Stage,totalTime.y,propColcal,propFlycal,propSwimcal,propRestcal,propSoarcal,odbaFlycal,odbaColcal,odbaSwimcal,odbaRestcal,odbaSoarcal
1,bbo/ws,1-sample,450,429,439.5,36013.42668,864.3222403,in,2.559722222,0.085512751,0.314595768,0.359088443,0.167986978,0.072816061,0.797431379,0.296477431,0.141337032,0.170894905,0.413848114
2,bee/gs,2-sample,551,521,536,38523.30676,924.5593623,in,1.4575,0.619592148,0.213836478,0.127310844,0.014293882,0.024966648,0.798505737,0.166751674,0.19693278,0.220390423,0.204903679
3,bgo/ys,2-sample,504,488.2,496.1,32445.72773,778.6974656,in,1.563611111,0.403091135,0.17427607,0.119559424,0.268786641,0.034286729,0.843113656,0.146987982,0.177366144,0.120748746,0.244454529
4,bks/orr,2-sample,430,455,442.5,20143.93997,483.4545593,in,1.809722222,0.464620107,0.146891788,0.189562548,0.154105909,0.044819647,0.899314464,0.073172937,0.18257921,0.236963488,0.443548312
6,bs/wyg,2-sample,462,427,444.5,26884.0415,645.216996,in,3.131111111,0.390347764,0.292938254,0.134048971,0.091110717,0.091554294,0.776261532,0.070467977,0.220480453,0.215946258,0.537970154
7,err/rs,1-sample,425,459,442,24326.05972,583.8254333,pl,2.109166667,0.264980903,0.188199658,0.161727907,0.334386935,0.050704596,0.786536371,0.102329545,0.11294013,0.114986108,0.272036099
9,es/eoo,1-sample,416,389,402.5,21721.4101,521.3138423,pl,1.321944444,0.729565035,0.152553057,0.015129229,0.067030889,0.03572179,0.765119635,0.102972822,0.258315982,0.184429674,0.299656151
10,es/ero,2-sample,430,488.7,459.35,40761.98524,978.2876457,in,1.535833333,0.427021161,0.300415988,0.12769036,0.102188461,0.04268403,0.859642522,0.110165917,0.158687355,0.177806384,0.364255934
11,es/err,1-sample,500,446,473,35338.59628,848.1263108,in,1.526111111,0.363851474,0.324353841,0.234255552,0.029850746,0.047688387,0.825532025,0.11856874,0.168356304,0.230067736,0.336583265
12,es/gbg,1-sample,444,461,452.5,25832.78214,619.9867713,in,1.472777778,0.579592607,0.242549981,0.147491513,0.005658242,0.024707657,0.857730558,0.081777703,0.190077458,0.275147677,0.293110591
13,es/gyb,2-sample,422,458,440,33365.28787,800.7669088,pl,1.170277778,0.533823878,0.233800142,0.101827676,0.111322098,0.019226205,0.77728064,0.129082061,0.135192741,0.064208058,0.244870959
14,es/owg,1-sample,435,390,412.5,27302.21716,655.2532118,in,1.7575,0.651335546,0.132764343,0.157420578,0.042042042,0.01643749,0.866148748,0.089869818,0.224447352,0.285579448,0.137388419
15,es/yby,2-sample,482,487,484.5,29420.91241,706.1018978,in,1.676388889,0.649212925,0.110190555,0.124772162,0.097597349,0.018227009,0.784361401,0.076857884,0.201155987,0.151433469,0.316888142
16,es/yeo,2-sample,403,393,398,29534.16321,708.8199171,pl,1.355833333,0.418356894,0.236836714,0.281089941,0.00983405,0.053882401,0.81519738,0.186281211,0.281886588,0.34762497,0.361901877
17,gee/gs,1-sample,428,423,425.5,29089.23804,698.1417129,pl,1.658333333,0.410552764,0.258291457,0.199664992,0.047571189,0.083919598,0.720676808,0.11016167,0.263917453,0.226406623,0.437768318
18,ggr/gs,2-sample,447,437,442,29006.34375,696.15225,in,1.238888889,0.534304933,0.142825112,0.250896861,0.025112108,0.046860987,0.812239575,0.087469284,0.23538601,0.176848252,0.227066318
